,featn,aucroc_on_train,aucroc_on_test
0,5,0.7017812707876518,0.6833889997952498
1,10,0.72833341545739,0.7196477016789516
2,15,0.7392741875877701,0.7293503020065519
3,20,0.7456431134872338,0.7365440724815725
4,25,0.7500663151757043,0.738112970925471
5,30,0.7541680011825864,0.7397208998771498
6,35,0.7553375504036398,0.7363956285831285
7,40,0.7561038705067876,0.7388187192874693
8,45,0.7571222088086262,0.739321317055692
9,50,0.7580816230998547,0.7402103808353808
10,55,0.7578288863156686,0.7381686373873874
11,60,0.7601283599004656,0.7397317772317772
12,65,0.7595456897188895,0.740045300982801
13,70,0.7601749653025861,0.7400421017608517
14,75,0.7615420228797622,0.7377085892710893
15,80,0.7606315750572816,0.7378653511466012
16,85,0.7612091124853204,0.7405018299549551
17,90,0.761369665015973,0.7394921555077806
18,95,0.761386911067859,0.7391316031941032
19,100,0.7620696699434166,0.7405795710483211
20,105,0.7626528534003466,0.7413928132678133
21,110,0.7620580699204217,0.7410972051597051
22,115,0.7642869168165431,0.742302671990172
23,120,0.7632611873496103,0.7437595976658476
24,125,0.7636497367923984,0.7432637182637183
25,130,0.7645833846608687,0.743519975941851
26,135,0.7642023290382451,0.7427614404176904
27,140,0.7635095099657542,0.7432662776412776
28,145,0.7637830857293026,0.744691850941851
29,150,0.7637254962346121,0.7470733517608518
30,155,0.7640894084604202,0.7458007012694512
31,160,0.7638808133566567,0.7454206337018837
32,165,0.7636153473436973,0.7454359899672399
33,170,0.7649299481797203,0.7470976658476659
34,175,0.7641932953920192,0.7472851402538903
35,180,0.7641891891891892,0.7470477579852579
36,185,0.7646171581791454,0.7482474662162162
37,190,0.7643461487923657,0.7472569871007371
38,195,0.7643439930358801,0.746578752047502
39,200,0.7641614723200867,0.7464399058149058
